kernel,case,truth,expected_signal,bias,product_remainder
0,ambos corretos,0.07048578099241729,0.07048578099241729,0.0,0.0
0,apenas f correto,0.07048578099241729,0.07048578099241729,0.0,-0.0
0,apenas mu correto,0.07048578099241729,0.07048578099241729,0.0,-0.0
0,ambos incorretos,0.07048578099241729,0.07698404920489652,0.00649826821247923,0.0064982682124792215
1,ambos corretos,0.051183181995030885,0.051183181995030885,0.0,0.0
1,apenas f correto,0.051183181995030885,0.051183181995030885,0.0,-0.0
1,apenas mu correto,0.051183181995030885,0.051183181995030885,0.0,0.0
1,ambos incorretos,0.051183181995030885,0.041370477631592115,-0.00981270436343877,-0.009812704363438774
