scenario,label,method,rep,seed,n,test_n,conversion,converters,success,error,warnings,log_ratio_rmse,lift_mae,lift_bias,rank_spearman,theta0,theta1,moment_norm,propensity_clip_fraction
continuous_null,Contínuo: efeito nulo,Q,0,20270906,12000,2000,0.04958333333333333,595,True,,,0.38696209589685837,0.24894306237849298,-0.0958513279702251,,,,,
continuous_null,Contínuo: efeito nulo,DML,0,20270906,12000,2000,0.04958333333333333,595,True,,,0.04822641264725964,0.043197211603951104,0.0011633194865272908,,0.02523912467609885,-0.07190406521871102,4.696561137668627e-19,
continuous_null,Contínuo: efeito nulo,S-learner,0,20270906,12000,2000,0.04958333333333333,595,True,,,0.2602139737603337,0.17535302064833402,-0.13023201497836157,,,,,
continuous_null,Contínuo: efeito nulo,Q,1,20270907,12000,2000,0.04791666666666667,575,True,,,0.3767475834154751,0.26778227606641986,-0.061398568650927514,,,,,
continuous_null,Contínuo: efeito nulo,DML,1,20270907,12000,2000,0.04791666666666667,575,True,,,0.08694566570069541,0.0648853166672057,0.003786029808605534,,0.10691679153825193,-0.08524760893519655,3.7844923031718e-19,
continuous_null,Contínuo: efeito nulo,S-learner,1,20270907,12000,2000,0.04791666666666667,575,True,,,0.40969004213801935,0.28037745315143653,-0.2633826453513618,,,,,
continuous_null,Contínuo: efeito nulo,Q,2,20270908,12000,2000,0.04883333333333333,586,True,,,0.5289526389685913,0.5919755895264268,0.5252152635071984,,,,,
continuous_null,Contínuo: efeito nulo,DML,2,20270908,12000,2000,0.04883333333333333,586,True,,,0.026037066989716234,0.024699924534084237,0.0003389905097330034,,-0.0007747522772160138,0.04120976522339243,1.6482868571321268e-19,
continuous_null,Contínuo: efeito nulo,S-learner,2,20270908,12000,2000,0.04883333333333333,586,True,,,0.37038021193830445,0.35014046410766964,0.22824566816377273,,,,,
continuous_null,Contínuo: efeito nulo,Q,3,20270909,12000,2000,0.050166666666666665,602,True,,,0.6467985084446999,0.30954883282975915,-0.2783974383767672,,,,,
continuous_null,Contínuo: efeito nulo,DML,3,20270909,12000,2000,0.050166666666666665,602,True,,,0.11280774785801065,0.09940047564442421,0.006376467246990988,,-0.06743367496947218,-0.16485670830338903,3.578869021569914e-19,
continuous_null,Contínuo: efeito nulo,S-learner,3,20270909,12000,2000,0.050166666666666665,602,True,,,0.5262536646646033,0.3033662440934924,-0.25800338824182767,,,,,
continuous_null,Contínuo: efeito nulo,Q,4,20270910,12000,2000,0.049416666666666664,593,True,,,0.3844569923094761,0.23757261335694158,0.06961510460781961,,,,,
continuous_null,Contínuo: efeito nulo,DML,4,20270910,12000,2000,0.049416666666666664,593,True,,,0.052976419877303775,0.03850061289582516,0.0014041472928651526,,-0.05393344589703951,0.06534175500862005,1.1462420026593143e-16,
continuous_null,Contínuo: efeito nulo,S-learner,4,20270910,12000,2000,0.049416666666666664,593,True,,,0.33060998213316395,0.2940574621379245,0.19721020651751486,,,,,
continuous_null,Contínuo: efeito nulo,Q,5,20270911,12000,2000,0.04858333333333333,583,True,,,0.6201030612419406,0.32816105452742567,-0.18450228296175955,,,,,
continuous_null,Contínuo: efeito nulo,DML,5,20270911,12000,2000,0.04858333333333333,583,True,,,0.0609610192522837,0.05771827360077413,0.0018589226775461683,,-0.0962031475192141,0.007115374096612642,3.4591779502613944e-19,
continuous_null,Contínuo: efeito nulo,S-learner,5,20270911,12000,2000,0.04858333333333333,583,True,,,0.4497429305101478,0.26940008451178726,-0.08464739629690804,,,,,
continuous_null,Contínuo: efeito nulo,Q,6,20270912,12000,2000,0.04675,561,True,,,0.6154753460670841,0.5909850629960957,0.3288278122212009,,,,,
continuous_null,Contínuo: efeito nulo,DML,6,20270912,12000,2000,0.04675,561,True,,,0.11317118656254141,0.08203293810041956,0.0064221989194644885,,0.11619826008415338,-0.13572998377519155,1.4707655943199378e-18,
continuous_null,Contínuo: efeito nulo,S-learner,6,20270912,12000,2000,0.04675,561,True,,,0.3703673701526108,0.2996364654324655,0.046418194050094126,,,,,
continuous_null,Contínuo: efeito nulo,Q,7,20270913,12000,2000,0.049166666666666664,590,True,,,0.47293216493545176,0.304034227339291,-0.2538104207199923,,,,,
continuous_null,Contínuo: efeito nulo,DML,7,20270913,12000,2000,0.049166666666666664,590,True,,,0.08147937393217004,0.05578322570109249,0.0033244250125272785,,0.0894336282275066,-0.09246205589439399,1.0660761483222433e-18,
continuous_null,Contínuo: efeito nulo,S-learner,7,20270913,12000,2000,0.049166666666666664,590,True,,,0.3351927083566537,0.2520661027300303,-0.06933040767725086,,,,,
continuous_null,Contínuo: efeito nulo,Q,8,20270914,12000,2000,0.050333333333333334,604,True,,,0.5572706038968911,0.29674101302121975,0.04391417213341262,,,,,
continuous_null,Contínuo: efeito nulo,DML,8,20270914,12000,2000,0.050333333333333334,604,True,,,0.04221674927415042,0.030238042949919653,0.0008914735649396146,,0.04891731067258099,-0.043831711919357634,6.789407489821939e-18,
continuous_null,Contínuo: efeito nulo,S-learner,8,20270914,12000,2000,0.050333333333333334,604,True,,,0.3259546086663333,0.203630353303802,0.008866809796593725,,,,,
continuous_null,Contínuo: efeito nulo,Q,9,20270915,12000,2000,0.049166666666666664,590,True,,,0.4986477720310845,0.36714679831527847,-0.007450758273250443,,,,,
continuous_null,Contínuo: efeito nulo,DML,9,20270915,12000,2000,0.049166666666666664,590,True,,,0.0458813587215678,0.04282365931071445,0.0010528327280240042,,0.07140655673900567,-0.013162454386702304,5.513590849586744e-19,
continuous_null,Contínuo: efeito nulo,S-learner,9,20270915,12000,2000,0.049166666666666664,590,True,,,0.45693351342882843,0.37474490532235666,0.04261914624337818,,,,,
continuous_null,Contínuo: efeito nulo,Q,10,20270916,12000,2000,0.050333333333333334,604,True,,,0.3311198218577088,0.2852488842820162,0.16407026715360998,,,,,
continuous_null,Contínuo: efeito nulo,DML,10,20270916,12000,2000,0.050333333333333334,604,True,,,0.03451883843661887,0.024611971389842027,0.000595935117604288,,0.0360243326914739,0.04110971505592877,1.826393819378849e-18,
continuous_null,Contínuo: efeito nulo,S-learner,10,20270916,12000,2000,0.050333333333333334,604,True,,,0.30828037126408536,0.2533236834483983,0.10486575973370617,,,,,
continuous_null,Contínuo: efeito nulo,Q,11,20270917,12000,2000,0.04858333333333333,583,True,,,0.47483925543374916,0.30365472605225635,-0.11836837830135007,,,,,
continuous_null,Contínuo: efeito nulo,DML,11,20270917,12000,2000,0.04858333333333333,583,True,,,0.09070719855195022,0.0809545630991799,0.004119372249535294,,0.049403238994625724,-0.13593387912298283,1.951006449210658e-18,
