method,reps,n,mean_conversion,mean0,bias0,mcse_bias0,rmse0,coverage0,mean1,bias1,mcse_bias1,rmse1,coverage1
CQ-DML: b e m corretos,100,30000,0.060013333333333335,-0.3608511468665775,-0.01085114686657747,0.0062200168770800415,0.06283247387684913,0.99,-0.1879533253243723,0.012046674675627667,0.007157455198879582,0.07222748575309318,0.94
CQ-DML: apenas m correto,100,30000,0.060013333333333335,-0.3588440323702941,-0.008844032370294144,0.006932466826175626,0.06954183950596461,0.96,-0.18866856768519477,0.01133143231480523,0.007582179708622777,0.07628798609582152,0.93
CQ-DML: apenas b correto,100,30000,0.060013333333333335,-0.35643598567089413,-0.0064359856708941085,0.00548060045591784,0.05490977204413831,0.98,-0.19321249640988253,0.006787503590117515,0.0061910885902591315,0.06197336863764226,0.94
CQ-DML: ambos incorretos,100,30000,0.060013333333333335,0.7408031989975982,1.0908031989975981,0.006441722812888043,1.092684630820075,0.0,-0.761995541988768,-0.5619955419887678,0.006938714510938947,0.566220292256129,0.0
Q: densidade correta,100,30000,0.060013333333333335,-0.3603506816723718,-0.010350681672371747,0.006103923948032501,0.06160898862873725,0.98,-0.18809031955030883,0.011909680449691172,0.007436950759060544,0.0749490220822806,0.95
Q: densidade incorreta,100,30000,0.060013333333333335,-0.23127722601021408,0.11872277398978591,0.0060391319089879,0.13306290757018358,0.59,0.6915419782436298,0.8915419782436297,0.007368818471218902,0.8945517022794605,0.0
