scenario,label,method,reps,successes,failures,warning_runs,conversion,log_ratio_rmse,log_ratio_rmse_mcse,lift_mae,lift_mae_mcse,lift_bias,lift_bias_mcse,rank_spearman,rank_spearman_mcse
continuous_null,Contínuo: efeito nulo,Q,30,30,0,0,0.04932777777777777,0.4723197455170013,0.01700850236109975,0.3492305921068446,0.022273503212827266,0.06301868070704536,0.044613466634916984,,
continuous_null,Contínuo: efeito nulo,DML,30,30,0,0,0.04932777777777777,0.06670153645789743,0.00649304375839837,0.055350050690843505,0.00527535707191001,0.002842124273399525,0.0005280528597650116,,
continuous_null,Contínuo: efeito nulo,S-learner,30,30,0,0,0.04932777777777777,0.3698427553122942,0.01362109065554627,0.2897111748724332,0.01425997291407011,0.05055803753569025,0.035140024911295566,,
continuous_common,Contínuo: efeito comum,Q,30,30,0,0,0.047913888888888895,0.4306984884632653,0.026034325362045523,0.3231244650641487,0.020495016883420022,0.027466166094092012,0.03615665884937436,,
continuous_common,Contínuo: efeito comum,DML,30,30,0,0,0.047913888888888895,0.0758087107802993,0.009612385100835823,0.06632759845971746,0.00861675212410433,0.0006083735386154788,0.003574860391861072,,
continuous_common,Contínuo: efeito comum,S-learner,30,30,0,0,0.047913888888888895,0.3558734932960657,0.015538740992768023,0.2918562596990789,0.013196815757479706,0.046352474933834785,0.028714467676622297,,
continuous_heterogeneous,Contínuo: heterogêneo,Q,30,30,0,0,0.046088888888888895,0.4598168010534052,0.020249463867837113,0.3691550824393781,0.03343232939624369,0.06050747049015137,0.048891997887345266,0.17859272115198574,0.09335455083336429
continuous_heterogeneous,Contínuo: heterogêneo,DML,30,30,0,0,0.046088888888888895,0.07895158770300321,0.009572180448613507,0.06777912972938742,0.008133394602307201,0.006178570639470393,0.002303881989938249,0.8902739105585599,0.06354115479140775
continuous_heterogeneous,Contínuo: heterogêneo,S-learner,30,30,0,0,0.046088888888888895,0.37724399733433084,0.016322072943249152,0.31935532511946346,0.022046542745334793,0.05923770088519041,0.0393068447893437,0.37543594238262157,0.08027279858730237
continuous_rare,Contínuo: conversão rara,Q,30,30,0,0,0.00938888888888889,1.0637512071803819,0.05683418573275659,1.1066057343993045,0.23356775138706276,0.5250845243747571,0.27239641679101195,0.02580949834246165,0.09403997808774407
