rep,method,n,conversion,theta0,theta1,se0,se1,moment_norm
0,CQ-DML: b e m corretos,30000,0.0581,-0.41438080820722284,-0.22183375756013374,0.06898667485070394,0.06898667485070394,4.1627119709690456e-18
0,CQ-DML: apenas m correto,30000,0.0581,-0.4438690713174527,-0.207120592732472,0.074416458908163,0.074416458908163,8.5216427466434e-19
0,CQ-DML: apenas b correto,30000,0.0581,-0.42355328500321204,-0.23978225131052555,0.06078582803813807,0.060785828038138076,1.6684725432874223e-18
0,CQ-DML: ambos incorretos,30000,0.0581,0.6591018618030491,-0.7993784256485152,0.06636463073300021,0.06636463073300021,4.648806844298817e-16
0,Q: densidade correta,30000,0.0581,-0.4253365395600063,-0.24243781964390815,0.06929277285682278,0.06929277285682278,7.34063330444902e-10
0,Q: densidade incorreta,30000,0.0581,-0.2880750106590518,0.6310641577661813,0.06874343300861412,0.06874343300861412,5.678796070430515e-12
1,CQ-DML: b e m corretos,30000,0.059866666666666665,-0.2842176936528389,-0.24328351343890303,0.06746553345400028,0.06746553345400026,1.3634611134858323e-18
1,CQ-DML: apenas m correto,30000,0.059866666666666665,-0.29153518428161085,-0.23953570246613906,0.07240492834377919,0.07240492834377918,6.65304244961441e-19
1,CQ-DML: apenas b correto,30000,0.059866666666666665,-0.2655983037515068,-0.2553945459188464,0.061151336052990855,0.061151336052990835,4.400178460592801e-18
1,CQ-DML: ambos incorretos,30000,0.059866666666666665,0.7990993770676131,-0.8133591034457861,0.06964725185835251,0.0696472518583525,6.094936114042475e-19
1,Q: densidade correta,30000,0.059866666666666665,-0.30039420347544893,-0.26103502105164167,0.07234803713603533,0.07234803713603533,2.290772747526678e-10
1,Q: densidade incorreta,30000,0.059866666666666665,-0.16847373849921982,0.6271822938976159,0.07266805690620282,0.07266805690620282,1.1871563861178773e-10
2,CQ-DML: b e m corretos,30000,0.0605,-0.29444759969320494,-0.24846317333766485,0.07105304068421714,0.07105304068421713,1.0169679707416928e-18
2,CQ-DML: apenas m correto,30000,0.0605,-0.28420977508781353,-0.2729161839994307,0.07593345013773474,0.07593345013773474,3.8886533481684423e-17
2,CQ-DML: apenas b correto,30000,0.0605,-0.29003427204784576,-0.2403121314573953,0.0634569342752494,0.06345693427524941,9.898004181238717e-19
2,CQ-DML: ambos incorretos,30000,0.0605,0.8237180097089553,-0.8452989974079271,0.071953790748029,0.071953790748029,8.031334148557823e-19
2,Q: densidade correta,30000,0.0605,-0.3084893029010032,-0.26623118090691816,0.06720886957525721,0.06720886957525721,2.7295574974773105e-11
2,Q: densidade incorreta,30000,0.0605,-0.18082560700864506,0.62004975170421,0.06647321605627095,0.06647321605627095,9.473070294366345e-11
3,CQ-DML: b e m corretos,30000,0.058366666666666664,-0.3928342709938408,-0.20522475123468742,0.06623155696267627,0.06623155696267628,1.3048032757839345e-17
3,CQ-DML: apenas m correto,30000,0.058366666666666664,-0.41774060325062157,-0.17683200991745232,0.07067790307643766,0.07067790307643765,6.611994098724689e-19
3,CQ-DML: apenas b correto,30000,0.058366666666666664,-0.4060093168914631,-0.21896777304563922,0.05859402123434056,0.05859402123434057,2.1064553587506243e-18
3,CQ-DML: ambos incorretos,30000,0.058366666666666664,0.6554909498597667,-0.7383852317904654,0.06428837042454254,0.06428837042454254,1.7665066786997742e-15
3,Q: densidade correta,30000,0.058366666666666664,-0.3990776003065538,-0.20153932389200235,0.07483125339425925,0.07483125339425926,1.465551832668172e-10
3,Q: densidade incorreta,30000,0.058366666666666664,-0.27308517833936063,0.6771705933509642,0.07282472507072552,0.07282472507072552,7.739501541474931e-11
