scenario,label,method,reps,successes,failures,warning_runs,convergence_failures,log_ratio_rmse,log_ratio_rmse_mcse,log_ratio_rmse_n,lift_mae,lift_mae_mcse,lift_mae_n,lift_bias,lift_bias_mcse,lift_bias_n,rank_spearman,rank_spearman_mcse,rank_spearman_n,invalid_train_fraction,invalid_train_fraction_mcse,invalid_train_fraction_n,invalid_grid_fraction,invalid_grid_fraction_mcse,invalid_grid_fraction_n,s_clipped_grid_fraction,s_clipped_grid_fraction_mcse,s_clipped_grid_fraction_n,converters,converters_mcse,converters_n,conversion,conversion_mcse,conversion_n,moment_norm,moment_norm_mcse,moment_norm_n,jac_condition,jac_condition_mcse,jac_condition_n,jac_min_singular,jac_min_singular_mcse,jac_min_singular_n,poisson_iterations,poisson_iterations_mcse,poisson_iterations_n,poisson_gradient_max,poisson_gradient_max_mcse,poisson_gradient_max_n,fit_seconds,fit_seconds_mcse,fit_seconds_n,theta0,theta0_mcse,theta0_n,theta1,theta1_mcse,theta1_n,kappa,kappa_mcse,kappa_n,se0,se0_mcse,se0_n,se1,se1_mcse,se1_n,se_kappa,se_kappa_mcse,se_kappa_n
curved_standard,"Curvo, alocação padrão",DML-linear,2,2,0,0,0,0.4031286172000945,0.008815413890092242,2,0.42177593929341306,0.02217996327095875,2,-0.417441502508739,0.026514400055632825,2,1.0,0.0,2,,,0,,,0,,,0,179.0,12.999999999999998,2,0.059666666666666666,0.004333333333333334,2,9.610178964928143e-19,2.0357759778006828e-19,2,4.250034014888249,0.13003771560099509,2,0.007544247109744896,0.0008888801655631736,2,,,0,,,0,0.2676378500000003,0.0013399499999997564,2,-0.37992920158113297,0.18004994569302135,2,-0.039381344032719395,0.02121239193690289,2,,,0,0.1650921347536866,0.006194038956487596,2,0.16509213475368656,0.0061940389564875825,2,,,0
curved_standard,"Curvo, alocação padrão",DML-quadratic,2,2,0,0,0,0.22458830655174133,0.04067361468440299,2,0.3083098660811258,0.009554562860960014,2,-0.03800996373624693,0.27875646704476653,2,1.0,0.0,2,,,0,,,0,,,0,179.0,12.999999999999998,2,0.059666666666666666,0.004333333333333334,2,1.1584932104933935e-18,3.711889933041841e-19,2,7.730549205437943,0.1126187605581803,2,0.0030179537536335318,0.0001903948409288634,2,,,0,,,0,0.399257,0.011400999999999772,2,-0.37309731424827197,0.1960815478194755,2,-0.23292399855660334,0.07848740790342634,2,0.6461113260515193,0.36140341003414617,2,0.17008463906159485,0.0036499901516005013,2,0.18527313670687195,0.003192220111020952,2,0.2737796097578266,0.001989790252001799,2
curved_standard,"Curvo, alocação padrão",Log-mean-linear,2,2,0,0,0,0.414785897624411,0.02624690849137642,2,0.4144077129237532,0.02342584616123733,2,-0.4020178698184698,0.03581568926652073,2,0.0,1.0,2,0.0,0.0,2,0.0,0.0,2,,,0,179.0,12.999999999999998,2,0.059666666666666666,0.004333333333333334,2,,,0,,,0,,,0,12.0,1.0,2,2.0865659457654692e-10,7.18138065125551e-11,2,0.002163750000000242,0.0005414500000000543,2,-0.4633840053109339,0.19525503191591867,2,-0.017830407257883055,0.029215245982490482,2,,,0,,,0,,,0,,,0
curved_standard,"Curvo, alocação padrão",Log-mean-quadratic,2,2,0,0,0,0.17061262133310412,0.04024395094677752,2,0.2268627918688093,0.038485848768461235,2,-0.10719999033318522,0.1579435757451312,2,1.0,0.0,2,0.0,0.0,2,0.0,0.0,2,,,0,179.0,12.999999999999998,2,0.059666666666666666,0.004333333333333334,2,,,0,,,0,,,0,14.0,1.0,2,8.458485525312623e-09,3.867995262844352e-09,2,0.0018378499999998077,8.3450000000429e-05,2,-0.4000400145332603,0.15139826898891082,2,-0.14198131918943724,0.011447184206573242,2,0.5876675709215404,0.20891182571544728,2,,,0,,,0,,,0
curved_standard,"Curvo, alocação padrão",S-learner,2,2,0,0,0,0.53339462395951,0.09844195142623997,2,0.5735134435912679,0.016002408204055792,2,-0.24104472029553328,0.2992875469029059,2,-0.2771025171612182,0.5511017225396281,2,,,0,0.0,0.0,2,0.0,0.0,2,179.0,12.999999999999998,2,0.059666666666666666,0.004333333333333334,2,,,0,,,0,,,0,,,0,,,0,0.05492900000000045,0.010230499999999587,2,,,0,,,0,,,0,,,0,,,0,,,0
curved_weak_overlap,"Curvo, pouco overlap",DML-linear,2,2,0,0,0,0.6160262958453452,0.06450761069682154,2,0.5691361297268296,0.06636936871284099,2,-0.3612800979249808,0.012974189651024535,2,-1.0,0.0,2,,,0,,,0,,,0,170.5,11.5,2,0.05683333333333333,0.0038333333333333344,2,6.485655950921561e-19,4.0812293650860926e-19,2,2.8276432069324136,0.8456550769092308,2,0.0020912233829271697,0.00047739005408279587,2,,,0,,,0,0.2702553500000002,0.0017536499999994957,2,-0.2750852318163005,0.32502491829018554,2,0.5073178428474648,0.11243712984063158,2,,,0,0.3398701930579845,0.02688175532358855,2,0.3398701930579845,0.02688175532358855,2,,,0
curved_weak_overlap,"Curvo, pouco overlap",DML-quadratic,2,2,0,0,0,0.9652627385559562,0.7350966215688465,2,0.6126431616166388,0.3789790161253263,2,-0.24632381938011766,0.1866776006198536,2,0.0,1.0,2,,,0,,,0,,,0,170.5,11.5,2,0.05683333333333333,0.0038333333333333344,2,5.671342823917346e-15,5.6095070131901934e-15,2,18.322667595330067,4.779374524655904,2,0.0005197523983827777,0.0002781509374004721,2,,,0,,,0,0.40187934999999975,0.010396349999999721,2,-0.2748242394040431,0.3593947753305222,2,0.9445419440878104,0.9719109849860659,2,-0.40111558453120133,0.9944570000382695,2,0.3418631913465115,0.035507413801493914,2,0.7710345887072872,0.31792643926320935,2,0.711697878865158,0.29566509812874586,2
curved_weak_overlap,"Curvo, pouco overlap",Log-mean-linear,2,2,0,0,0,0.6387029647540667,0.013079669537705061,2,0.6130190517939553,0.010027714400276444,2,-0.34178033862908486,0.061882052346956457,2,-1.0,0.0,2,0.0,0.0,2,0.0,0.0,2,,,0,170.5,11.5,2,0.05683333333333333,0.0038333333333333344,2,,,0,,,0,,,0,17.0,1.0,2,2.8643656645455095e-09,1.8083461954532253e-09,2,0.0021785500000000013,0.00014764999999972162,2,-0.3180857487038417,0.3867832656399715,2,0.5303622871932646,0.04140713829502066,2,,,0,,,0,,,0,,,0
curved_weak_overlap,"Curvo, pouco overlap",Log-mean-quadratic,2,2,0,0,0,0.4721879513098955,0.23051981873632704,2,0.45155988958905074,0.19045456821182155,2,-0.22743460760999298,0.20153194374349914,2,-1.0,0.0,2,0.0,0.0,2,0.0,0.0,2,,,0,170.5,11.5,2,0.05683333333333333,0.0038333333333333344,2,,,0,,,0,,,0,20.5,2.5,2,3.557234094351639e-09,1.4202913513894352e-09,2,0.002390400000000348,0.0001742000000000132,2,-0.2752160634123064,0.3526934277470093,2,0.3154371748357672,0.2735105669228123,2,0.2694489973199292,0.38123214185739956,2,,,0,,,0,,,0
curved_weak_overlap,"Curvo, pouco overlap",S-learner,2,2,0,0,0,0.6762933020731321,0.14657652654469233,2,0.6085753281424253,0.06207446591949933,2,-0.5618207181621456,0.08142887624974529,2,0.4011451782353139,0.09155788158496783,2,,,0,0.0,0.0,2,0.0,0.0,2,170.5,11.5,2,0.05683333333333333,0.0038333333333333344,2,,,0,,,0,,,0,,,0,,,0,0.044636950000000564,0.00011785000000008593,2,,,0,,,0,,,0,,,0,,,0,,,0
