scenario,label,method,rep,seed,n,test_n,conversion,converters,success,error,warnings,log_ratio_rmse,lift_mae,lift_bias,rank_spearman,theta0,theta1,moment_norm,propensity_clip_fraction
continuous_null,Contínuo: efeito nulo,Q,0,20260906,12000,2000,0.052833333333333336,634,True,,,0.3281551079051253,0.21407723771016132,-0.07488024975618293,,,,,
continuous_null,Contínuo: efeito nulo,DML,0,20260906,12000,2000,0.052833333333333336,634,True,,,0.057675552046608784,0.05323818064263209,0.0016639923215373714,,0.02132603063721319,-0.08894205970917811,6.203511720176538e-19,
continuous_null,Contínuo: efeito nulo,S-learner,0,20260906,12000,2000,0.052833333333333336,634,True,,,0.2937648827921179,0.20793131438326076,-0.1120396264859051,,,,,
continuous_null,Contínuo: efeito nulo,Q,1,20260907,12000,2000,0.051166666666666666,614,True,,,0.5662031921255569,0.24199600962092682,-0.17112232193829133,,,,,
continuous_null,Contínuo: efeito nulo,DML,1,20260907,12000,2000,0.051166666666666666,614,True,,,0.08850657781829213,0.0696846997728184,0.00392326710158531,,0.11733558258238572,-0.07852398250014243,5.633876341028497e-19,
continuous_null,Contínuo: efeito nulo,S-learner,1,20260907,12000,2000,0.051166666666666666,614,True,,,0.5044247736541672,0.2833610951107083,-0.2533593296603656,,,,,
continuous_null,Contínuo: efeito nulo,Q,2,20260908,12000,2000,0.04975,597,True,,,0.3785687860362467,0.34434191355918947,0.1622318783692537,,,,,
continuous_null,Contínuo: efeito nulo,DML,2,20260908,12000,2000,0.04975,597,True,,,0.09832294346081635,0.07438129009207912,0.0048440341512553855,,0.09436637147559206,-0.12477835492158294,4.714651730732278e-19,
continuous_null,Contínuo: efeito nulo,S-learner,2,20260908,12000,2000,0.04975,597,True,,,0.29625960624439074,0.25782812915733183,0.1378094522126305,,,,,
continuous_null,Contínuo: efeito nulo,Q,3,20260909,12000,2000,0.04958333333333333,595,True,,,0.5553274219471211,0.3673783943970128,-0.23471021493075767,,,,,
continuous_null,Contínuo: efeito nulo,DML,3,20260909,12000,2000,0.04958333333333333,595,True,,,0.034855942028558365,0.02974447074497192,0.0006076022387851996,,0.04880969907423892,0.024123679287759072,9.157090736783682e-19,
continuous_null,Contínuo: efeito nulo,S-learner,3,20260909,12000,2000,0.04958333333333333,595,True,,,0.47446021696723467,0.33858205154946225,-0.15303506491018048,,,,,
continuous_null,Contínuo: efeito nulo,Q,4,20260910,12000,2000,0.049,588,True,,,0.657662292862833,0.7908119399372251,0.6882294676393951,,,,,
continuous_null,Contínuo: efeito nulo,DML,4,20260910,12000,2000,0.049,588,True,,,0.07680423701926023,0.06853878631152084,0.0029522355124331286,,-0.04167053980532936,0.1138983035092625,1.0958081173309583e-19,
continuous_null,Contínuo: efeito nulo,S-learner,4,20260910,12000,2000,0.049,588,True,,,0.4334118564583967,0.445580544760454,0.350604056071362,,,,,
continuous_null,Contínuo: efeito nulo,Q,5,20260911,12000,2000,0.055,660,True,,,0.4833943246869429,0.21119095088175843,-0.050836322782059185,,,,,
continuous_null,Contínuo: efeito nulo,DML,5,20260911,12000,2000,0.055,660,True,,,0.09117473047289615,0.08307313647880964,0.004161498293403064,,0.04106342867022113,-0.13794165878466497,1.0475461420747691e-18,
continuous_null,Contínuo: efeito nulo,S-learner,5,20260911,12000,2000,0.055,660,True,,,0.3603718028631695,0.18911057362295974,-0.028372309921229223,,,,,
continuous_null,Contínuo: efeito nulo,Q,6,20260912,12000,2000,0.050333333333333334,604,True,,,0.5424162951124857,0.32931744763111864,-0.22093020012910958,,,,,
continuous_null,Contínuo: efeito nulo,DML,6,20260912,12000,2000,0.050333333333333334,604,True,,,0.04902943881544329,0.035321470249537586,0.0012025850404072571,,0.05050274280429793,-0.05831199985436269,2.349387466685262e-17,
continuous_null,Contínuo: efeito nulo,S-learner,6,20260912,12000,2000,0.050333333333333334,604,True,,,0.4563565835353479,0.31411823851613585,-0.231916768035173,,,,,
continuous_null,Contínuo: efeito nulo,Q,7,20260913,12000,2000,0.0485,582,True,,,0.4790806221754932,0.2894880576604484,-0.16248597488371325,,,,,
continuous_null,Contínuo: efeito nulo,DML,7,20260913,12000,2000,0.0485,582,True,,,0.05509975489866699,0.05102065713750525,0.001518610495071421,,0.08497780105508931,-0.01920236450478427,4.998355926329679e-19,
continuous_null,Contínuo: efeito nulo,S-learner,7,20260913,12000,2000,0.0485,582,True,,,0.2882741404212005,0.19770757688408502,-0.05342547694586747,,,,,
continuous_null,Contínuo: efeito nulo,Q,8,20260914,12000,2000,0.052333333333333336,628,True,,,0.46568274082986794,0.34364514654970946,-0.03177143654222466,,,,,
continuous_null,Contínuo: efeito nulo,DML,8,20260914,12000,2000,0.052333333333333336,628,True,,,0.11632841340993781,0.09285731828881981,0.006784988622216425,,0.15188904720232324,-0.10044491779240275,2.0938457284787343e-18,
continuous_null,Contínuo: efeito nulo,S-learner,8,20260914,12000,2000,0.052333333333333336,628,True,,,0.3132501946495511,0.25178347939371937,0.01994820233509117,,,,,
continuous_null,Contínuo: efeito nulo,Q,9,20260915,12000,2000,0.05,600,True,,,0.5291169497348247,0.5774903156497366,0.463968741570952,,,,,
continuous_null,Contínuo: efeito nulo,DML,9,20260915,12000,2000,0.05,600,True,,,0.049954973520824994,0.04188942468225639,0.001248347138742167,,-0.03703560647584111,0.07009880909098955,1.3263195997599417e-18,
continuous_null,Contínuo: efeito nulo,S-learner,9,20260915,12000,2000,0.05,600,True,,,0.4413073116945736,0.44942698358069927,0.3863122979667029,,,,,
continuous_null,Contínuo: efeito nulo,Q,10,20260916,12000,2000,0.0485,582,True,,,0.39440621732378833,0.23257249854447193,0.011402733855923894,,,,,
continuous_null,Contínuo: efeito nulo,DML,10,20260916,12000,2000,0.0485,582,True,,,0.030548305716463345,0.02645446541197812,0.00046667709542772684,,-0.04469223236332905,0.019757212493365265,1.6164621702397944e-18,
continuous_null,Contínuo: efeito nulo,S-learner,10,20260916,12000,2000,0.0485,582,True,,,0.26414246454081264,0.2125339251077954,0.06722933310950555,,,,,
continuous_null,Contínuo: efeito nulo,Q,11,20260917,12000,2000,0.04841666666666666,581,True,,,0.3521846115052193,0.23336221310029304,-0.13955749021645494,,,,,
continuous_null,Contínuo: efeito nulo,DML,11,20260917,12000,2000,0.04841666666666666,581,True,,,0.03267722916664132,0.027139833994761164,0.0005340118101290737,,-0.024995345111812804,-0.04531884894743518,2.2084371240113975e-17,
continuous_null,Contínuo: efeito nulo,S-learner,11,20260917,12000,2000,0.04841666666666666,581,True,,,0.20793142943202764,0.1666959191180193,-0.0827066485290635,,,,,
continuous_null,Contínuo: efeito nulo,Q,12,20260918,12000,2000,0.049666666666666665,596,True,,,0.4991462274379476,0.2961973886688878,-0.10116967915503224,,,,,
continuous_null,Contínuo: efeito nulo,DML,12,20260918,12000,2000,0.049666666666666665,596,True,,,0.08209676035854979,0.057731337774949584,0.0033749944794653503,,-0.09457512078086551,0.08741109993598355,6.48189313630921e-17,
continuous_null,Contínuo: efeito nulo,S-learner,12,20260918,12000,2000,0.049666666666666665,596,True,,,0.4144935572739326,0.2971843114372757,-0.06552169717184275,,,,,
continuous_null,Contínuo: efeito nulo,Q,13,20260919,12000,2000,0.052333333333333336,628,True,,,0.32900049201062553,0.22170176168605815,-0.09526524240222053,,,,,
continuous_null,Contínuo: efeito nulo,DML,13,20260919,12000,2000,0.052333333333333336,628,True,,,0.08890782872396674,0.08447007275150142,0.003955846063834224,,-0.002026301501965186,-0.1405387281102965,9.821555021477137e-19,
continuous_null,Contínuo: efeito nulo,S-learner,13,20260919,12000,2000,0.052333333333333336,628,True,,,0.26860262655615313,0.21870815268544191,0.04887060065023201,,,,,
continuous_null,Contínuo: efeito nulo,Q,14,20260920,12000,2000,0.051166666666666666,614,True,,,0.4282695315320892,0.3241489512533716,-0.0858387352499798,,,,,
continuous_null,Contínuo: efeito nulo,DML,14,20260920,12000,2000,0.051166666666666666,614,True,,,0.08302943795304771,0.06744307545861418,0.0034518259752252655,,0.06823708205496358,-0.11380319972190424,1.26729567600853e-18,
