scenario,label,method,reps,successes,failures,warning_runs,conversion,log_ratio_rmse,log_ratio_rmse_mcse,lift_mae,lift_mae_mcse,lift_bias,lift_bias_mcse,rank_spearman,rank_spearman_mcse
continuous_null,Contínuo: efeito nulo,Q,30,30,0,0,0.05041388888888888,0.46255269788649184,0.01682748192152556,0.3232100964986657,0.02376900798006975,0.021562754103960573,0.04051449033824737,,
continuous_null,Contínuo: efeito nulo,DML,30,30,0,0,0.05041388888888888,0.06935196195629763,0.00612788641582281,0.05892628512159427,0.005155901994704062,0.002954458016446611,0.00042481154216382174,,
continuous_null,Contínuo: efeito nulo,S-learner,30,30,0,0,0.05041388888888888,0.3471801251222679,0.014068263477304471,0.27010629101587524,0.014144370221814136,0.04373247671046878,0.029871522073029563,,
continuous_common,Contínuo: efeito comum,Q,30,30,0,0,0.047961111111111114,0.5125038359555311,0.03404453385794234,0.39680447324751694,0.0447315954760962,0.06411072386387233,0.06518090448938658,,
continuous_common,Contínuo: efeito comum,DML,30,30,0,0,0.047961111111111114,0.07563462741819635,0.008259305977880866,0.0677342577852574,0.007070304381647986,0.005113544200029549,0.0033503395987270206,,
continuous_common,Contínuo: efeito comum,S-learner,30,30,0,0,0.047961111111111114,0.3896140344755049,0.01980638867468727,0.33387337873657014,0.030165227397690102,0.08301388221161853,0.048419203534953735,,
continuous_heterogeneous,Contínuo: heterogêneo,Q,30,30,0,0,0.046213888888888895,0.436986422801022,0.01970813580599895,0.3307234329295455,0.019137178225383442,0.015572774778672908,0.033589060595434525,0.24684975215911695,0.08142462616764659
continuous_heterogeneous,Contínuo: heterogêneo,DML,30,30,0,0,0.046213888888888895,0.07718393406179362,0.010655021941657922,0.06662312522550837,0.008558992400854002,0.007333251960325784,0.002877681258920869,0.8900899804627954,0.06372753722888329
continuous_heterogeneous,Contínuo: heterogêneo,S-learner,30,30,0,0,0.046213888888888895,0.3346453248205917,0.013135333118648191,0.2676429938629127,0.011951298571791122,0.012436478790221642,0.01976513299040911,0.36550035362670596,0.08588176337892836
continuous_rare,Contínuo: conversão rara,Q,30,30,0,0,0.009352777777777778,0.9771658480254646,0.042230569113429546,0.9028715713609672,0.09617987996425136,0.3093003912522024,0.13961281223325644,-0.0060952236125929645,0.08101820340921917
