scenario,label,method,reps,successes,failures,theta0,theta0_mcse,theta1,theta1_mcse,theta1_n,se1,kappa,kappa_mcse
curved_randomized,"Curvo, dose aleatorizada uniforme",DML-linear,30,30,0,-0.35253026992587094,0.012052858467643184,-0.20287333877245986,0.013497911958970448,30,0.06655178857497333,,
curved_randomized,"Curvo, dose aleatorizada uniforme",DML-quadratic,30,30,0,-0.35423131848253775,0.012731518419876435,-0.2007132975885607,0.013706105140909818,30,0.06801305830638159,0.8326669291686601,0.019905237257720757
curved_randomized,"Curvo, dose aleatorizada uniforme",Log-mean-linear,30,30,0,-0.43483755416013975,0.015203465404887588,-0.25226366469660655,0.016818157113944764,30,,,
curved_randomized,"Curvo, dose aleatorizada uniforme",Log-mean-quadratic,30,30,0,-0.35137185416666966,0.01251016585388134,-0.20269331153228048,0.013773640359207764,30,,0.8241756409283337,0.0172186588151512
curved_standard,"Curvo, alocação padrão",DML-linear,30,30,0,-0.33734752957698905,0.013533358577450222,-0.04145283968167763,0.013599414454498493,30,0.07249911727308846,,
curved_standard,"Curvo, alocação padrão",DML-quadratic,30,30,0,-0.3526890141753283,0.014576926610435383,-0.20821496661692457,0.01337339016330305,30,0.07709275777153127,0.8341275437033429,0.016740990915124414
curved_standard,"Curvo, alocação padrão",Log-mean-linear,30,30,0,-0.42001256615560073,0.016439135434724764,-0.052584157946660666,0.017608498554250857,30,,,
curved_standard,"Curvo, alocação padrão",Log-mean-quadratic,30,30,0,-0.3521897723571294,0.01355421762657965,-0.2066014479630547,0.013788411517890745,30,,0.82643368382848,0.014375349098054614
curved_weak_overlap,"Curvo, pouco overlap",DML-linear,30,30,0,-0.34410019482530063,0.02302837841201391,0.30883875581614856,0.027901365437448766,30,0.1306019211423359,,
curved_weak_overlap,"Curvo, pouco overlap",DML-quadratic,30,30,0,-0.37726143647776944,0.026294955097274936,-0.19600762535939198,0.040710345646276895,30,0.18663950090674872,0.7954685809160704,0.03410817741530542
curved_weak_overlap,"Curvo, pouco overlap",Log-mean-linear,30,30,0,-0.43222290246934375,0.02669434037728061,0.37579122429935496,0.03052927474692342,30,,,
curved_weak_overlap,"Curvo, pouco overlap",Log-mean-quadratic,30,30,0,-0.3792557722431707,0.021652268540582168,-0.19123311695613407,0.03494240306279303,30,,0.780400806116229,0.03184978471383877
