scenario,label,method,reps,successes,failures,warning_runs,convergence_failures,log_ratio_rmse,log_ratio_rmse_mcse,log_ratio_rmse_n,lift_mae,lift_mae_mcse,lift_mae_n,lift_bias,lift_bias_mcse,lift_bias_n,rank_spearman,rank_spearman_mcse,rank_spearman_n,invalid_train_fraction,invalid_train_fraction_mcse,invalid_train_fraction_n,invalid_grid_fraction,invalid_grid_fraction_mcse,invalid_grid_fraction_n,s_clipped_grid_fraction,s_clipped_grid_fraction_mcse,s_clipped_grid_fraction_n,converters,converters_mcse,converters_n,conversion,conversion_mcse,conversion_n,moment_norm,moment_norm_mcse,moment_norm_n,jac_condition,jac_condition_mcse,jac_condition_n,jac_min_singular,jac_min_singular_mcse,jac_min_singular_n,poisson_iterations,poisson_iterations_mcse,poisson_iterations_n,poisson_gradient_max,poisson_gradient_max_mcse,poisson_gradient_max_n,fit_seconds,fit_seconds_mcse,fit_seconds_n,theta0,theta0_mcse,theta0_n,theta1,theta1_mcse,theta1_n,kappa,kappa_mcse,kappa_n,se0,se0_mcse,se0_n,se1,se1_mcse,se1_n,se_kappa,se_kappa_mcse,se_kappa_n
curved_standard,"Curvo, alocação padrão",DML-linear,30,30,0,0,0,0.39178459909705554,0.002287004414289993,30,0.42911354616529246,0.0014093973697375665,30,-0.42839684547585805,0.0016282598029395234,30,0.45677442331904167,0.16088656297232803,30,,,0,,,0,,,0,759.8,2.975532406721237,30,0.06331666666666666,0.00024796103389343623,30,1.2117807251891086e-17,1.0621607491002581e-17,30,3.49562510887244,0.06829218079902921,30,0.010308046426649665,0.00017632322998596402,30,,,0,,,0,0.5084438566666667,0.005388346437995264,30,-0.33734752957698905,0.013533358577450222,30,-0.04145283968167763,0.013599414454498493,30,,,0,0.07249911727308846,0.0006795790711274186,30,0.07249911727308846,0.0006795790711274186,30,,,0
curved_standard,"Curvo, alocação padrão",DML-quadratic,30,30,0,0,0,0.07537039417430783,0.00568895728457385,30,0.09676933622986529,0.007923011623553149,30,0.02976775142528625,0.012366408009356318,30,0.9794336763792614,0.0003020378524618183,30,,,0,,,0,,,0,759.8,2.975532406721237,30,0.06331666666666666,0.00024796103389343623,30,1.2033925642034218e-15,4.8116870748110355e-16,30,6.282832898188873,0.06332414592787809,30,0.0035674339797789082,4.4069689815519865e-05,30,,,0,,,0,0.7159742466666666,0.0031971233971587313,30,-0.3526890141753283,0.014576926610435383,30,-0.20821496661692457,0.01337339016330305,30,0.8341275437033429,0.016740990915124414,30,0.07436498911562488,0.000627280606900932,30,0.07709275777153127,0.000749363696207383,30,0.11954280078387393,0.0005831130105505621,30
curved_standard,"Curvo, alocação padrão",Log-mean-linear,30,30,0,0,0,0.3953193804858463,0.0038035865366227153,30,0.4178461748693199,0.001734833917673422,30,-0.4142041090666036,0.0024821608740927007,30,0.40232295178118954,0.14117447442420877,30,0.0,0.0,30,0.0,0.0,30,,,0,759.8,2.975532406721237,30,0.06331666666666666,0.00024796103389343623,30,,,0,,,0,,,0,12.133333333333333,0.1416920193676779,30,9.266610670772397e-10,1.9177962236444193e-10,30,0.003179943333332839,9.816669223330691e-05,30,-0.42001256615560073,0.016439135434724764,30,-0.052584157946660666,0.017608498554250857,30,,,0,,,0,,,0,,,0
curved_standard,"Curvo, alocação padrão",Log-mean-quadratic,30,30,0,0,0,0.07046440772437863,0.005515342415897648,30,0.08773574438325871,0.006714616735779094,30,0.023437736401672425,0.009732741260258419,30,0.8650334134563925,0.0013813918100716014,30,0.0,0.0,30,0.0,0.0,30,,,0,759.8,2.975532406721237,30,0.06331666666666666,0.00024796103389343623,30,,,0,,,0,,,0,14.6,0.13217891045025335,30,1.1352912950777465e-09,2.2520138142800447e-10,30,0.004043339999999773,0.00018271707993841496,30,-0.3521897723571294,0.01355421762657965,30,-0.2066014479630547,0.013788411517890745,30,0.82643368382848,0.014375349098054614,30,,,0,,,0,,,0
curved_standard,"Curvo, alocação padrão",S-learner,30,30,0,0,0,0.32429717031830285,0.01791981813167259,30,0.4139051124958934,0.03893484248092095,30,0.11578501336401698,0.060436079618163746,30,0.39767378809943427,0.07413280830970868,30,,,0,0.0,0.0,30,0.0,0.0,30,759.8,2.975532406721237,30,0.06331666666666666,0.00024796103389343623,30,,,0,,,0,,,0,,,0,,,0,0.09181513999999993,0.0014826437263790477,30,,,0,,,0,,,0,,,0,,,0,,,0
curved_weak_overlap,"Curvo, pouco overlap",DML-linear,30,30,0,0,0,0.50367105991146,0.012500942367212295,30,0.4729708409054791,0.009744732520044494,30,-0.4012546538719883,0.008084476211554316,30,-0.9794336763792614,0.0003020378524618183,30,,,0,,,0,,,0,762.1,4.04382600214601,30,0.06350833333333333,0.00033698550017883405,30,5.176305168049978e-17,3.593849786103577e-17,30,2.958309374962534,0.12710560451001238,30,0.0035143394329447872,0.000149823809789583,30,,,0,,,0,0.5015588933333309,0.004088507860043145,30,-0.34410019482530063,0.02302837841201391,30,0.30883875581614856,0.027901365437448766,30,,,0,0.1306019211423359,0.002837880326266234,30,0.1306019211423359,0.0028378803262662333,30,,,0
curved_weak_overlap,"Curvo, pouco overlap",DML-quadratic,30,30,0,0,0,0.14776947665927173,0.02144184667703175,30,0.19059636241733044,0.024628776820654893,30,0.030408634223346463,0.02159683910966739,30,0.5871879869036066,0.14556705292738395,30,,,0,,,0,,,0,762.1,4.04382600214601,30,0.06350833333333333,0.00033698550017883405,30,1.0918302694521984e-15,5.969365064880298e-16,30,11.101021936902804,0.26310309836865065,30,0.0008817021563513379,2.088843126230861e-05,30,,,0,,,0,0.7204424300000004,0.00644592971619057,30,-0.37726143647776944,0.026294955097274936,30,-0.19600762535939198,0.040710345646276895,30,0.7954685809160704,0.03410817741530542,30,0.13246519127113246,0.0022209959464680688,30,0.18663950090674872,0.004624206087839037,30,0.19637562780095683,0.002877631487687668,30
curved_weak_overlap,"Curvo, pouco overlap",Log-mean-linear,30,30,0,0,0,0.5362813860448491,0.014750117601850403,30,0.49435018237915757,0.013504712125582725,30,-0.3746681316898423,0.010039947259319641,30,-0.8599229768799198,0.0012038770778707495,30,0.0,0.0,30,0.0,0.0,30,,,0,762.1,4.04382600214601,30,0.06350833333333333,0.00033698550017883405,30,,,0,,,0,,,0,16.366666666666667,0.1946605258045745,30,2.9841055886918763e-09,1.4343269856623935e-09,30,0.003806469999999251,0.00012844830215098736,30,-0.43222290246934375,0.02669434037728061,30,0.37579122429935496,0.03052927474692342,30,,,0,,,0,,,0,,,0
curved_weak_overlap,"Curvo, pouco overlap",Log-mean-quadratic,30,30,0,0,0,0.1363135212309274,0.0166177278068516,30,0.17017822932622914,0.019238838000633484,30,0.013644775671536928,0.02031471899931938,30,0.5764986793130554,0.11945983217845327,30,0.0,0.0,30,0.0,0.0,30,,,0,762.1,4.04382600214601,30,0.06350833333333333,0.00033698550017883405,30,,,0,,,0,,,0,21.066666666666666,0.38337081276047646,30,5.307683736892631e-09,2.173913334210826e-09,30,0.004842746666669484,0.00013890036036196148,30,-0.3792557722431707,0.021652268540582168,30,-0.19123311695613407,0.03494240306279303,30,0.780400806116229,0.03184978471383877,30,,,0,,,0,,,0
curved_weak_overlap,"Curvo, pouco overlap",S-learner,30,30,0,0,0,0.35193647065611083,0.015357567791424408,30,0.40553023993631526,0.017223724600003668,30,-0.08327887343840294,0.04024418398023037,30,0.10270828558787187,0.09723033911264621,30,,,0,0.0,0.0,30,0.0,0.0,30,762.1,4.04382600214601,30,0.06350833333333333,0.00033698550017883405,30,,,0,,,0,,,0,,,0,,,0,0.08783847333333342,0.0009469731646160726,30,,,0,,,0,,,0,,,0,,,0,,,0
