scenario,label,curvature,confounding,method,rep,seed,test_seed,n,test_n,converters,conversion,success,fit_success,error,warnings,convergence_warning,estimate_json,coefficients_json,log_ratio_rmse,lift_mae,lift_bias,rank_spearman,theta0,theta1,kappa,se0,se1,se_kappa,moment_norm,jac_condition,jac_min_singular,fit_seconds,invalid_train_fraction,poisson_iterations,poisson_gradient_max,invalid_grid_fraction,s_clipped_grid_fraction
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-linear,0,1293899219,1768251325,12000,2000,546,0.0455,True,True,,,False,"{""theta"": [-0.12884070269642312, -0.3946610418594568], ""se"": [0.09210717836931488, 0.09210717836931488], ""moment_norm"": 1.6236721891234425e-18, ""jac_condition"": 2.957925296092598, ""cov"": [[0.008483732307156787, -0.004183826025015999], [-0.004183826025015999, 0.008483732307156787]], ""jac_singular_values"": [0.01958658471121574, 0.0066217306897809435]}",,0.1917126868110334,0.14067546837850653,0.0023744205582712395,0.9491250079929275,-0.12884070269642312,-0.3946610418594568,,0.09210717836931488,0.09210717836931488,,1.6236721891234425e-18,2.957925296092598,0.0066217306897809435,0.46645000000000003,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-quadratic,0,1293899219,1768251325,12000,2000,546,0.0455,True,True,,,False,"{""theta"": [-0.12153194459548047, -0.3369565599779749, -0.2801408189169648], ""se"": [0.09114804683264105, 0.0916173961753523, 0.15160099217983597], ""moment_norm"": 5.4392580469416455e-18, ""jac_condition"": 5.81819783239967, ""cov"": [[0.008307966441405327, -0.004240649021072858, 0.00022687787802054993], [-0.004240649021072858, 0.008393747281951459, -0.002379797114658254], [0.00022687787802054993, -0.002379797114658254, 0.022982860829910683]], ""jac_singular_values"": [0.023592566652559165, 0.008081130208006864, 0.004054961232356136]}",,0.21664672164405424,0.16852145211045091,-0.11382338313638364,0.9491250079929275,-0.12153194459548047,-0.3369565599779749,-0.2801408189169648,0.09114804683264105,0.0916173961753523,0.15160099217983597,5.4392580469416455e-18,5.81819783239967,0.004054961232356136,0.6735375000000001,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-linear,0,1293899219,1768251325,12000,2000,546,0.0455,True,True,,,False,,"[-3.176287785924334, 0.5770626770421087, 0.3894564918625813, -0.12315072571120286, -0.36073040027335984]",0.1806624705101215,0.14344123303483453,-0.002982812462202702,0.8353467380787749,-0.12315072571120286,-0.36073040027335984,,,,,,,,0.002874999999999961,0.0,12.0,6.420796752777218e-10,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-quadratic,0,1293899219,1768251325,12000,2000,546,0.0455,True,True,,,False,,"[-3.111264106101468, 0.5787178784546255, 0.3877219576818212, -0.1272839457454991, -0.3292333195729244, -0.20616507178964116]",0.19268856040303248,0.1548009634806488,-0.08769347957429124,0.8432952948672394,-0.1272839457454991,-0.3292333195729244,-0.20616507178964116,,,,,,,0.0037283000000001287,0.0,16.0,2.1276124985078472e-10,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,S-learner,0,1293899219,1768251325,12000,2000,546,0.0455,True,True,,,False,,,0.4340051337343237,0.2785258458784963,-0.2223583918074209,-0.19076623106593482,,,,,,,,,,0.08022689999999999,,,,0.0,0.0
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-linear,1,2683514679,3749163115,12000,2000,537,0.04475,True,True,,,False,"{""theta"": [-0.31893462655735333, -0.250932565207128], ""se"": [0.09177533434658068, 0.09177533434658068], ""moment_norm"": 1.0605696365221068e-18, ""jac_condition"": 3.5012193450411, ""cov"": [[0.00842271199442667, -0.004684469040153589], [-0.004684469040153589, 0.00842271199442667]], ""jac_singular_values"": [0.02205478544808555, 0.006299172738012692]}",,0.03712283613246025,0.030431232161642327,0.0006457914041107706,0.9529599759793341,-0.31893462655735333,-0.250932565207128,,0.09177533434658068,0.09177533434658068,,1.0605696365221068e-18,3.5012193450411,0.006299172738012692,0.4726421999999997,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-quadratic,1,2683514679,3749163115,12000,2000,537,0.04475,True,True,,,False,"{""theta"": [-0.3197614436854861, -0.29007056642392215, 0.1669081610458271], ""se"": [0.0920018921339773, 0.09537627460457707, 0.15010194113803557], ""moment_norm"": 1.8016527491179673e-17, ""jac_condition"": 6.575818907276341, ""cov"": [[0.008464348156231994, -0.0051402975382926035, 0.001882569998664727], [-0.0051402975382926035, 0.009096633757447691, -0.003970454544719149], [0.001882569998664727, -0.003970454544719149, 0.0225305927334063]], ""jac_singular_values"": [0.020787771464259173, 0.00610400686031612, 0.0031612445168246466]}",,0.09795082758437194,0.08441009861105225,0.07898736894607526,0.9529599759793341,-0.3197614436854861,-0.29007056642392215,0.1669081610458271,0.0920018921339773,0.09537627460457707,0.15010194113803557,1.8016527491179673e-17,6.575818907276341,0.0031612445168246466,0.7147003000000001,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-linear,1,2683514679,3749163115,12000,2000,537,0.04475,True,True,,,False,,"[-3.227763140776678, 0.647926258112304, 0.36022577510300113, -0.3129411680435091, -0.27901124151995865]",0.05442540833584631,0.04772058056445135,0.0030513859974614947,0.8432721868097509,-0.3129411680435091,-0.27901124151995865,,,,,,,,0.0032785999999997983,0.0,14.0,6.779215204755218e-10,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-quadratic,1,2683514679,3749163115,12000,2000,537,0.04475,True,True,,,False,,"[-3.28053779500155, 0.6456924790163642, 0.36054697496024013, -0.3022335775958895, -0.30436915544839316, 0.15980594651614755]",0.10336004413547131,0.0892628343180486,0.07516129049488043,0.844526016977879,-0.3022335775958895,-0.30436915544839316,0.15980594651614755,,,,,,,0.003913400000000067,0.0,18.0,3.0151950051552724e-10,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,S-learner,1,2683514679,3749163115,12000,2000,537,0.04475,True,True,,,False,,,0.31128484717105614,0.2688599983871551,0.17137043789638248,0.6436364342991135,,,,,,,,,,0.08663100000000012,,,,0.0,0.0
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-linear,2,1589066909,1639520425,12000,2000,533,0.04441666666666667,True,True,,,False,"{""theta"": [-0.4627708981726599, -0.12284897274779927], ""se"": [0.10330005523354578, 0.10330005523354577], ""moment_norm"": 7.69154210410906e-19, ""jac_condition"": 4.002125756641932, ""cov"": [[0.01067090141125361, -0.006457530468374279], [-0.006457530468374279, 0.010670901411253608]], ""jac_singular_values"": [0.020385068682923405, 0.005093560253345944]}",,0.08709849542313843,0.07015496552080966,0.013616036372297075,0.9528018557730267,-0.4627708981726599,-0.12284897274779927,,0.10330005523354578,0.10330005523354577,,7.69154210410906e-19,4.002125756641932,0.005093560253345944,0.4902487000000004,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-quadratic,2,1589066909,1639520425,12000,2000,533,0.04441666666666667,True,True,,,False,"{""theta"": [-0.4603064041538284, -0.08564307563063325, -0.1585686457411272], ""se"": [0.10313129626113725, 0.10884963020332702, 0.15222529507621985], ""moment_norm"": 1.2539831460040343e-16, ""jac_condition"": 6.398198649873705, ""cov"": [[0.01063606426850246, -0.0073075660222855065, 0.0030885543160554304], [-0.0073075660222855065, 0.011848241995401042, -0.005082844799210704], [0.0030885543160554304, -0.005082844799210704, 0.0231725404610422]], ""jac_singular_values"": [0.02310185209001805, 0.00597028764811643, 0.003610680654698657]}",,0.12546272684870108,0.09409469020622674,-0.05277769071400805,0.9528018557730267,-0.4603064041538284,-0.08564307563063325,-0.1585686457411272,0.10313129626113725,0.10884963020332702,0.15222529507621985,1.2539831460040343e-16,6.398198649873705,0.003610680654698657,0.6994439999999997,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-linear,2,1589066909,1639520425,12000,2000,533,0.04441666666666667,True,True,,,False,,"[-3.319168887141363, 0.7338035629090809, 0.4053823639410186, -0.43806919471143596, -0.10550078244373468]",0.08238749700182077,0.058554176583858454,0.008304014344160556,0.8427954870558085,-0.43806919471143596,-0.10550078244373468,,,,,,,,0.0029338000000000974,0.0,13.0,1.2991354364846887e-10,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-quadratic,2,1589066909,1639520425,12000,2000,533,0.04441666666666667,True,True,,,False,,"[-3.267762723982676, 0.7378648766312689, 0.4042974492465253, -0.45439736538949105, -0.07140200191628863, -0.17068700407016912]",0.1322749257765933,0.1002489901421823,-0.05886808470864848,0.8448903303922145,-0.45439736538949105,-0.07140200191628863,-0.17068700407016912,,,,,,,0.004003100000000259,0.0,19.0,9.507724635718362e-11,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,S-learner,2,1589066909,1639520425,12000,2000,533,0.04441666666666667,True,True,,,False,,,0.23404087080122163,0.17213838822158897,-0.06514762152487828,0.7681150477899247,,,,,,,,,,0.08697659999999985,,,,0.0,0.0
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-linear,3,3440496339,911348915,12000,2000,551,0.04591666666666667,True,True,,,False,"{""theta"": [-0.5469119168735107, -0.05214117621981144], ""se"": [0.09961529344673467, 0.09961529344673468], ""moment_norm"": 1.2057905781314081e-18, ""jac_condition"": 3.8414324499292127, ""cov"": [[0.00992320668847906, -0.00611803631352892], [-0.00611803631352892, 0.009923206688479062]], ""jac_singular_values"": [0.021950524223341986, 0.0057141507782458795]}",,0.15416056288290855,0.12028150055400058,0.02795715131796962,0.9555176098331187,-0.5469119168735107,-0.05214117621981144,,0.09961529344673467,0.09961529344673468,,1.2057905781314081e-18,3.8414324499292127,0.0057141507782458795,0.49543219999999977,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-quadratic,3,3440496339,911348915,12000,2000,551,0.04591666666666667,True,True,,,False,"{""theta"": [-0.5524741788448027, -0.07169023368949426, 0.09414129729765133], ""se"": [0.09816888641141054, 0.10466282891755173, 0.15651390977910848], ""moment_norm"": 5.8306320670071774e-18, ""jac_condition"": 6.813825746113258, ""cov"": [[0.009637130259256424, -0.006467177708410968, 0.0017407359549429261], [-0.006467177708410968, 0.010954307757024702, -0.0050099897046216105], [0.0017407359549429261, -0.0050099897046216105, 0.024496603954342912]], ""jac_singular_values"": [0.021801296848838095, 0.005554976296080915, 0.0031995677114686986]}",,0.15644717886325277,0.14041799178759526,0.07182169865820938,0.9555176098331187,-0.5524741788448027,-0.07169023368949426,0.09414129729765133,0.09816888641141054,0.10466282891755173,0.15651390977910848,5.8306320670071774e-18,6.813825746113258,0.0031995677114686986,0.6976152000000004,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-linear,3,3440496339,911348915,12000,2000,551,0.04591666666666667,True,True,,,False,,"[-3.299742806508263, 0.7406225700521334, 0.41017698473410424, -0.5397383030012239, -0.053748234348121635]",0.14996629085950744,0.11569894396073965,0.02639568102915053,0.8371837402306737,-0.5397383030012239,-0.053748234348121635,,,,,,,,0.0027706000000007336,0.0,13.0,3.9446654427344185e-09,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-quadratic,3,3440496339,911348915,12000,2000,551,0.04591666666666667,True,True,,,False,,"[-3.2986937187256378, 0.7407030665295518, 0.41017457212906855, -0.5401416408997007, -0.053051472187334525, -0.003447232740676602]",0.15044022676221364,0.11539022095449757,0.024975887937583038,0.8377980413901474,-0.5401416408997007,-0.053051472187334525,-0.003447232740676602,,,,,,,0.003959899999999905,0.0,18.0,2.248764745471643e-09,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,S-learner,3,3440496339,911348915,12000,2000,551,0.04591666666666667,True,True,,,False,,,0.33233829992141956,0.29596468919552416,0.1531149366363418,0.5384152739796716,,,,,,,,,,0.08694030000000019,,,,0.0,0.0
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-linear,4,2367014378,3370905717,12000,2000,545,0.04541666666666667,True,True,,,False,"{""theta"": [-0.5505094888366554, -0.0832544136542504], ""se"": [0.10224993564690989, 0.10224993564690989], ""moment_norm"": 5.747720389308846e-19, ""jac_condition"": 3.879040542583211, ""cov"": [[0.010455049339797214, -0.006127760534062502], [-0.006127760534062502, 0.010455049339797212]], ""jac_singular_values"": [0.01997230044729746, 0.005148773318568383]}",,0.14933598637676548,0.1277232387430297,0.03042516802093576,0.950904960256332,-0.5505094888366554,-0.0832544136542504,,0.10224993564690989,0.10224993564690989,,5.747720389308846e-19,3.879040542583211,0.005148773318568383,0.49623540000000066,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-quadratic,4,2367014378,3370905717,12000,2000,545,0.04541666666666667,True,True,,,False,"{""theta"": [-0.5569665385662067, -0.0076628505334566084, -0.2632309475148304], ""se"": [0.10417859056125754, 0.11247283684622647, 0.1645995671996837], ""moment_norm"": 2.140424468526877e-18, ""jac_condition"": 7.364317668999856, ""cov"": [[0.010853178731330139, -0.007623973832289443, 0.004395385027613473], [-0.007623973832289443, 0.01265013902823788, -0.007353740552664456], [0.004395385027613473, -0.007353740552664456, 0.027093017522323185]], ""jac_singular_values"": [0.02393348394704274, 0.006415699781302366, 0.0032499255223319467]}",,0.21980625964245767,0.15767214314769246,-0.07536496569238767,0.950904960256332,-0.5569665385662067,-0.0076628505334566084,-0.2632309475148304,0.10417859056125754,0.11247283684622647,0.1645995671996837,2.140424468526877e-18,7.364317668999856,0.0032499255223319467,0.7037969999999998,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-linear,4,2367014378,3370905717,12000,2000,545,0.04541666666666667,True,True,,,False,,"[-3.2749631368349488, 0.6457900417455564, 0.4558059210378112, -0.5350981193464626, -0.05103469858028401]",0.15324878724244306,0.1183105716677381,0.02636145188676254,0.8474627414056289,-0.5350981193464626,-0.05103469858028401,,,,,,,,0.003589700000000029,0.0,12.0,1.7739507016528711e-09,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-quadratic,4,2367014378,3370905717,12000,2000,545,0.04541666666666667,True,True,,,False,,"[-3.210529480065437, 0.6543840865013983, 0.4553037791723023, -0.5661500081886209, 0.0015088965730618452, -0.2275885323668859]",0.21824351857884167,0.15930918957440357,-0.05988248934041586,-0.8363056634843782,-0.5661500081886209,0.0015088965730618452,-0.2275885323668859,,,,,,,0.005032500000000439,0.0,15.0,5.157911215941668e-09,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,S-learner,4,2367014378,3370905717,12000,2000,545,0.04541666666666667,True,True,,,False,,,0.3797574623489891,0.2565043556247248,-0.07094588138794052,0.2913674842840281,,,,,,,,,,0.08619860000000035,,,,0.0,0.0
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-linear,5,1311544766,2403488088,12000,2000,553,0.04608333333333333,True,True,,,False,"{""theta"": [-0.2448698404361818, -0.18805682457285566], ""se"": [0.08906628793815924, 0.08906628793815927], ""moment_norm"": 1.1293447010827918e-17, ""jac_condition"": 3.267422573596144, ""cov"": [[0.007932803647083089, -0.004220914320974807], [-0.004220914320974807, 0.007932803647083094]], ""jac_singular_values"": [0.02219113265291459, 0.006791632289083104]}",,0.06672240797933783,0.06498705425823928,-0.013438741637664748,0.9496892127578481,-0.2448698404361818,-0.18805682457285566,,0.08906628793815924,0.08906628793815927,,1.1293447010827918e-17,3.267422573596144,0.006791632289083104,0.49408799999999964,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-quadratic,5,1311544766,2403488088,12000,2000,553,0.04608333333333333,True,True,,,False,"{""theta"": [-0.25630125621626754, -0.2340873136567921, 0.19891361232372806], ""se"": [0.08879471185280413, 0.09314376695000384, 0.14487516414463542], ""moment_norm"": 3.248717008042028e-16, ""jac_condition"": 6.371919048972736, ""cov"": [[0.007884500853022515, -0.004332280709265647, 0.0003086133185553906], [-0.004332280709265647, 0.008675761321636628, -0.003933074692961033], [0.0003086133185553906, -0.003933074692961033, 0.020988813185935058]], ""jac_singular_values"": [0.020895164294023955, 0.006267885380954966, 0.003279257651176943]}",,0.11248418276463286,0.08353731901804083,0.0783342918296309,0.9496892127578481,-0.25630125621626754,-0.2340873136567921,0.19891361232372806,0.08879471185280413,0.09314376695000384,0.14487516414463542,3.248717008042028e-16,6.371919048972736,0.003279257651176943,0.6981974000000015,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-linear,5,1311544766,2403488088,12000,2000,553,0.04608333333333333,True,True,,,False,,"[-3.2190965449480204, 0.6445563859929164, 0.4199868433031149, -0.25925623146461363, -0.21403462543099266]",0.058301379361640426,0.05617529007144066,-0.009930477697252095,0.8383400759898035,-0.25925623146461363,-0.21403462543099266,,,,,,,,0.0027656000000000347,0.0,11.0,5.192318984215127e-10,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-quadratic,5,1311544766,2403488088,12000,2000,553,0.04608333333333333,True,True,,,False,,"[-3.2607292842795785, 0.6433566785897276, 0.4198623952623546, -0.25318598163731804, -0.23518141301391932, 0.12879150825004115]",0.0890196971289767,0.06289831277930702,0.046421199784441154,0.8403531680566155,-0.25318598163731804,-0.23518141301391932,0.12879150825004115,,,,,,,0.0034358000000001,0.0,15.0,1.7505896476264585e-09,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,S-learner,5,1311544766,2403488088,12000,2000,553,0.04608333333333333,True,True,,,False,,,0.38491711806646633,0.35031758135782654,0.2135439591792611,0.8133034503602546,,,,,,,,,,0.08498220000000067,,,,0.0,0.0
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-linear,6,1821364729,1760580302,12000,2000,550,0.04583333333333333,True,True,,,False,"{""theta"": [-0.3556812901404287, -0.331569971340719], ""se"": [0.09234722801756891, 0.09234722801756892], ""moment_norm"": 1.7497842724572446e-18, ""jac_condition"": 3.5334717188717777, ""cov"": [[0.008528010522528865, -0.004496676945720706], [-0.004496676945720706, 0.008528010522528866]], ""jac_singular_values"": [0.022036688485589626, 0.006236554368864694]}",,0.08325379191997985,0.08282118401444812,0.015193173910927985,0.9526729313526944,-0.3556812901404287,-0.331569971340719,,0.09234722801756891,0.09234722801756892,,1.7497842724572446e-18,3.5334717188717777,0.006236554368864694,0.4926156000000006,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-quadratic,6,1821364729,1760580302,12000,2000,550,0.04583333333333333,True,True,,,False,"{""theta"": [-0.3556264531098199, -0.33507868910489214, 0.013273099682921277], ""se"": [0.0924617006754311, 0.09484356635147664, 0.15025467516644295], ""moment_norm"": 4.172868312510296e-17, ""jac_condition"": 6.555764094978821, ""cov"": [[0.008549166091793015, -0.005031285061222135, 0.0020537810416499914], [-0.005031285061222135, 0.008995302078266954, -0.0038628893402002998], [0.0020537810416499914, -0.0038628893402002998, 0.022576467409373285]], ""jac_singular_values"": [0.022814549822530505, 0.006629110042264189, 0.0034800748611446505]}",,0.0856937529624891,0.08638085915615079,0.021348445414123906,0.9526729313526944,-0.3556264531098199,-0.33507868910489214,0.013273099682921277,0.0924617006754311,0.09484356635147664,0.15025467516644295,4.172868312510296e-17,6.555764094978821,0.0034800748611446505,0.8161488000000006,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-linear,6,1821364729,1760580302,12000,2000,550,0.04583333333333333,True,True,,,False,,"[-3.1784416491528176, 0.6133783061244023, 0.3175402019121062, -0.3676620069337807, -0.33906729144497383]",0.0885494977726129,0.08793817276321661,0.018025283254342543,0.833743897232473,-0.3676620069337807,-0.33906729144497383,,,,,,,,0.003076399999999424,0.0,13.0,6.131184373941537e-10,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-quadratic,6,1821364729,1760580302,12000,2000,550,0.04583333333333333,True,True,,,False,,"[-3.1651254780714533, 0.6137068140856698, 0.3174153024311417, -0.3709213995984447, -0.3341248866270645, -0.0407529907925788]",0.08780557424569824,0.08085958531209823,0.0006033438640367317,0.8340006917050408,-0.3709213995984447,-0.3341248866270645,-0.0407529907925788,,,,,,,0.0038696999999991988,0.0,17.0,9.575854908091172e-11,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,S-learner,6,1821364729,1760580302,12000,2000,550,0.04583333333333333,True,True,,,False,,,0.3092133716951755,0.22269871411454362,0.06875558348052024,0.25518037197818916,,,,,,,,,,0.0846897999999996,,,,0.0,0.0
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-linear,7,3960867496,611900750,12000,2000,568,0.04733333333333333,True,True,,,False,"{""theta"": [-0.3064085209726429, -0.30336466359435377], ""se"": [0.09170801967397019, 0.0917080196739702], ""moment_norm"": 9.139437639966135e-19, ""jac_condition"": 3.784516612859029, ""cov"": [[0.008410360872521304, -0.004829925610948287], [-0.004829925610948287, 0.008410360872521306]], ""jac_singular_values"": [0.022846342482371097, 0.00603679275835223]}",,0.0708729449433985,0.06349811797609317,0.0049232788323525884,0.9541401205520962,-0.3064085209726429,-0.30336466359435377,,0.09170801967397019,0.0917080196739702,,9.139437639966135e-19,3.784516612859029,0.00603679275835223,0.49353299999999933,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,DML-quadratic,7,3960867496,611900750,12000,2000,568,0.04733333333333333,True,True,,,False,"{""theta"": [-0.30641024925131793, -0.30349328419608046, 0.0005501151289382287], ""se"": [0.09166281057673739, 0.0931937917499281, 0.14266508985170842], ""moment_norm"": 3.9504091023915914e-17, ""jac_condition"": 6.311884519493897, ""cov"": [[0.00840207084282684, -0.005145217959665072, 0.001324151174405408], [-0.005145217959665072, 0.008685082820728968, -0.002966528632760132], [0.001324151174405408, -0.002966528632760132, 0.020353327862396037]], ""jac_singular_values"": [0.02366926074675783, 0.006415113241907545, 0.003749951488126353]}",,0.07094793413243167,0.0636288787918195,0.005171153299312534,0.9541401205520962,-0.30641024925131793,-0.30349328419608046,0.0005501151289382287,0.09166281057673739,0.0931937917499281,0.14266508985170842,3.9504091023915914e-17,6.311884519493897,0.003749951488126353,0.7298140999999987,,,,,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-linear,7,3960867496,611900750,12000,2000,568,0.04733333333333333,True,True,,,False,,"[-3.1720963368922654, 0.6453049659919523, 0.4080576192129084, -0.3007649426974648, -0.318982472099437]",0.08135298613200709,0.07313608894733604,0.006228115837642744,0.8493060535512749,-0.3007649426974648,-0.318982472099437,,,,,,,,0.003305499999999739,0.0,14.0,6.263506862174325e-10,0.0,
linear_standard,"Log-linear, alocação padrão",0.0,1.0,Log-mean-quadratic,7,3960867496,611900750,12000,2000,568,0.04733333333333333,True,True,,,False,,"[-3.183167668280113, 0.6451032143244085, 0.4079240727334227, -0.29913216210312454, -0.3237730547367248, 0.03390759988377517]",0.0860115810446726,0.07941812246868396,0.021093046054412944,0.8515226729076909,-0.29913216210312454,-0.3237730547367248,0.03390759988377517,,,,,,,0.004102800000000073,0.0,18.0,5.854052764671843e-10,0.0,
